Equipo_local,Resultado_final,Equipo_visitante,Puntuacion_local,Puntuacion_visitante
FC Santa Coloma,0-3,Birkirkara,,
Tre Fiori,0-3,FK Rudar Pljevlja,,
Birkirkara,4-3,FC Santa Coloma,,
FK Rudar Pljevlja,4-1,Tre Fiori,,
Bohemians,1-0,The New Saints,,
AIK Solna,1-0,Jeunesse Esch,,
Birkirkara,1-0,MSK Zilina,,
Inter Baku PIK,0-1,Lech Poznan,,
Levadia,1-1,Debreceni VSC,,
Dinamo Zagreb,5-1,Koper,,
PFC Litex Lovech,1-0,FK Rudar Pljevlja,,
Hapoel Tel Aviv,5-0,Zeljeznicar Sarajevo,,
FC RB Salzburg,5-0,HB,,
Omonia Nicosia,3-0,Renova,,
Liepajas Metalurgs,0-3,Sparta Praha,,
Aktobe,2-0,Metalurgi Rustavi,,
BATE Borisov,5-1,FH,,
Sheriff Tiraspol,3-1,Dinamo Tirana,,
FK Ekranas,1-0,HJK Helsinki,,
Linfield,0-0,Rosenborg BK,,
Partizan Belgrade,3-1,Pyunik,,
The New Saints,4-0,Bohemians,,
Dinamo Tirana,1-0,Sheriff Tiraspol,,
Koper,3-0,Dinamo Zagreb,,
FK Rudar Pljevlja,0-4,PFC Litex Lovech,,
HB,1-0,FC RB Salzburg,,
Renova,0-2,Omonia Nicosia,,
Lech Poznan,0-1 (*),Inter Baku PIK,,
Jeunesse Esch,0-0,AIK Solna,,
Metalurgi Rustavi,1-1,Aktobe,,
FH,0-1,BATE Borisov,,
MSK Zilina,3-0,Birkirkara,,
Debreceni VSC,3-2,Levadia,,
HJK Helsinki,1-0 (*),FK Ekranas,,
Zeljeznicar Sarajevo,0-1,Hapoel Tel Aviv,,
Pyunik,0-1,Partizan Belgrade,,
Rosenborg BK,2-0,Linfield,,
Sparta Praha,2-0,Liepajas Metalurgs,,
Dinamo Kiev,3-0,KAA Gent,,
Unirea Urziceni,0-0,Zenit St. Petersburg,,
PFC Litex Lovech,1-1,MSK Zilina,,
Omonia Nicosia,1-1,FC RB Salzburg,,
The New Saints,1-3,RSC Anderlecht,,
Sparta Praha,1-0,Lech Poznan,,
Sheriff Tiraspol,1-1,Dinamo Zagreb,,
AFC Ajax,1-1,PAOK FC,,
AIK Solna,0-1,Rosenborg BK,,
Aktobe,1-0,Hapoel Tel Aviv,,
Debreceni VSC,0-2,Basel,,
BATE Borisov,0-0,Kobenhavn,,
BSC Young Boys,2-2,Fenerbahçe İstanbul SK,,
Sporting Braga,3-0,Celtic FC,,
Partizan Belgrade,3-0,HJK Helsinki,,
Hapoel Tel Aviv,3-1,Aktobe,,
RSC Anderlecht,3-0,The New Saints,,
Fenerbahçe İstanbul SK,0-1,BSC Young Boys,,
PAOK FC,3-3,AFC Ajax,,
Rosenborg BK,3-0,AIK Solna,,
Basel,3-1,Debreceni VSC,,
Kobenhavn,3-2,BATE Borisov,,
Dinamo Zagreb,1-1 (*),Sheriff Tiraspol,,
Celtic FC,2-1,Sporting Braga,,
KAA Gent,1-3,Dinamo Kiev,,
Lech Poznan,0-1,Sparta Praha,,
MSK Zilina,3-1,PFC Litex Lovech,,
FC RB Salzburg,4-1,Omonia Nicosia,,
Zenit St. Petersburg,1-0,Unirea Urziceni,,
HJK Helsinki,1-2,Partizan Belgrade,,
Rosenborg BK,2-1,Kobenhavn,,
Dinamo Kiev,1-1,AFC Ajax,,
Zenit St. Petersburg,1-0,AJ Auxerre,,
BSC Young Boys,3-2,Tottenham Hotspur FC,,
Sparta Praha,0-2,MSK Zilina,,
Basel,1-0,Sheriff Tiraspol,,
FC RB Salzburg,2-3,Hapoel Tel Aviv,,
Partizan Belgrade,2-2,RSC Anderlecht,,
Sporting Braga,1-0,Sevilla FC,,
Werder Bremen,3-1,UC Sampdoria,,
Sheriff Tiraspol,0-3,Basel,,
RSC Anderlecht,2-2 (*),Partizan Belgrade,,
UC Sampdoria,3-1 (*),Werder Bremen,,
Sevilla FC,3-4,Sporting Braga,,
Hapoel Tel Aviv,1-1,FC RB Salzburg,,
Kobenhavn,1-0,Rosenborg BK,,
AFC Ajax,2-1,Dinamo Kiev,,
AJ Auxerre,2-0,Zenit St. Petersburg,,
Tottenham Hotspur FC,4-0,BSC Young Boys,,
MSK Zilina,1-0,Sparta Praha,,
Werder Bremen,2-2,Tottenham Hotspur FC,,
FC Twente,2-2,Internazionale,,
SL Benfica,2-0,Hapoel Tel Aviv,,
Olympique Lyon,1-0,FC Schalke 04,,
Bursaspor,0-4,Valencia CF,,
Manchester United FC,0-0,Rangers FC,,
Kobenhavn,1-0,Rubin Kazan,,
FC Barcelona,5-1,Panathinaikos FC,,
CFR Cluj,2-1,Basel,,
Bayern München,2-0,AS Roma,,
MSK Zilina,1-4,Chelsea FC,,
Olympique Marseille,0-1,Spartak Moskva,,
Real Madrid CF,2-0,AFC Ajax,,
AC Milan,2-0,AJ Auxerre,,
Shakhtar Donetsk,1-0,Partizan Belgrade,,
Arsenal FC,6-0,Sporting Braga,,
Basel,1-2,Bayern München,,
AS Roma,2-1,CFR Cluj,,
Chelsea FC,2-0,Olympique Marseille,,
Spartak Moskva,3-0,MSK Zilina,,
AJ Auxerre,0-1,Real Madrid CF,,
AFC Ajax,1-1,AC Milan,,
Partizan Belgrade,1-3,Arsenal FC,,
Sporting Braga,0-3,Shakhtar Donetsk,,
Tottenham Hotspur FC,4-1,FC Twente,,
Internazionale,4-0,Werder Bremen,,
Hapoel Tel Aviv,1-3,Olympique Lyon,,
FC Schalke 04,2-0,SL Benfica,,
Rangers FC,1-0,Bursaspor,,
Valencia CF,0-1,Manchester United FC,,
Panathinaikos FC,0-2,Kobenhavn,,
Rubin Kazan,1-1,FC Barcelona,,
Bayern München,3-2,CFR Cluj,,
AS Roma,1-3,Basel,,
Olympique Marseille,1-0,MSK Zilina,,
Spartak Moskva,0-2,Chelsea FC,,
AFC Ajax,2-1,AJ Auxerre,,
Real Madrid CF,2-0,AC Milan,,
Arsenal FC,5-1,Shakhtar Donetsk,,
Sporting Braga,2-0,Partizan Belgrade,,
FC Twente,1-1,Werder Bremen,,
Internazionale,4-3,Tottenham Hotspur FC,,
FC Schalke 04,3-1,Hapoel Tel Aviv,,
Olympique Lyon,2-0,SL Benfica,,
Manchester United FC,1-0,Bursaspor,,
Rangers FC,1-1,Valencia CF,,
Panathinaikos FC,0-0,Rubin Kazan,,
FC Barcelona,2-0,Kobenhavn,,
Werder Bremen,0-2,FC Twente,,
Tottenham Hotspur FC,3-1,Internazionale,,
Hapoel Tel Aviv,0-0,FC Schalke 04,,
SL Benfica,4-3,Olympique Lyon,,
Bursaspor,0-3,Manchester United FC,,
Valencia CF,3-0,Rangers FC,,
Rubin Kazan,0-0,Panathinaikos FC,,
Kobenhavn,1-1,FC Barcelona,,
Basel,2-3,AS Roma,,
CFR Cluj,0-4,Bayern München,,
MSK Zilina,0-7,Olympique Marseille,,
Chelsea FC,4-1,Spartak Moskva,,
AC Milan,2-2,Real Madrid CF,,
AJ Auxerre,2-1,AFC Ajax,,
Shakhtar Donetsk,2-1,Arsenal FC,,
Partizan Belgrade,0-1,Sporting Braga,,
Basel,1-0,CFR Cluj,,
AS Roma,3-2,Bayern München,,
Chelsea FC,2-1,MSK Zilina,,
Spartak Moskva,0-3,Olympique Marseille,,
AFC Ajax,0-4,Real Madrid CF,,
AJ Auxerre,0-2,AC Milan,,
Sporting Braga,2-0,Arsenal FC,,
Partizan Belgrade,0-3,Shakhtar Donetsk,,
Internazionale,1-0,FC Twente,,
Tottenham Hotspur FC,3-0,Werder Bremen,,
FC Schalke 04,3-0,Olympique Lyon,,
Hapoel Tel Aviv,3-0,SL Benfica,,
Valencia CF,6-1,Bursaspor,,
Rangers FC,0-1,Manchester United FC,,
Panathinaikos FC,0-3,FC Barcelona,,
Rubin Kazan,1-0,Kobenhavn,,
FC Twente,3-3,Tottenham Hotspur FC,,
Werder Bremen,3-0,Internazionale,,
Olympique Lyon,2-2,Hapoel Tel Aviv,,
SL Benfica,1-2,FC Schalke 04,,
Bursaspor,1-1,Rangers FC,,
Manchester United FC,1-1,Valencia CF,,
Kobenhavn,3-1,Panathinaikos FC,,
FC Barcelona,2-0,Rubin Kazan,,
Bayern München,3-0,Basel,,
CFR Cluj,1-1,AS Roma,,
MSK Zilina,1-2,Spartak Moskva,,
Olympique Marseille,1-0,Chelsea FC,,
Real Madrid CF,4-0,AJ Auxerre,,
AC Milan,0-2,AFC Ajax,,
Shakhtar Donetsk,2-0,Sporting Braga,,
Arsenal FC,3-1,Partizan Belgrade,,
AC Milan,0-1,Tottenham Hotspur FC,,
Valencia CF,1-1,FC Schalke 04,,
AS Roma,2-3,Shakhtar Donetsk,,
Arsenal FC,2-1,FC Barcelona,,
Kobenhavn,0-2,Chelsea FC,,
Olympique Lyon,1-1,Real Madrid CF,,
Internazionale,0-1,Bayern München,,
Olympique Marseille,0-0,Manchester United FC,,
FC Barcelona,3-1,Arsenal FC,,
Shakhtar Donetsk,3-0,AS Roma,,
FC Schalke 04,3-1,Valencia CF,,
Tottenham Hotspur FC,0-0,AC Milan,,
Bayern München,2-3,Internazionale,,
Manchester United FC,2-1,Olympique Marseille,,
Real Madrid CF,3-0,Olympique Lyon,,
Chelsea FC,0-0,Kobenhavn,,
Real Madrid CF,4-0,Tottenham Hotspur FC,,
Internazionale,2-5,FC Schalke 04,,
FC Barcelona,5-1,Shakhtar Donetsk,,
Chelsea FC,0-1,Manchester United FC,,
Manchester United FC,2-1,Chelsea FC,,
Shakhtar Donetsk,0-1,FC Barcelona,,
FC Schalke 04,2-1,Internazionale,,
Tottenham Hotspur FC,0-1,Real Madrid CF,,
FC Schalke 04,0-2,Manchester United FC,,
Real Madrid CF,0-2,FC Barcelona,,
FC Barcelona,1-1,Real Madrid CF,,
Manchester United FC,4-1,FC Schalke 04,,
FC Barcelona,3-1,Manchester United FC,,
FC Santa Coloma,0-2,F91 Dudelange,,
Tre Fiori,0-3,Valletta,,
F91 Dudelange,2-0,FC Santa Coloma,,
Valletta,2-1,Tre Fiori,,
Valletta,2-3,FK Ekranas,,
NK Maribor,2-0,F91 Dudelange,,
FK Mogren,1-2,PFC Litex Lovech,,
Shamrock Rovers,1-0,Flora Tallinn,,
Pyunik,0-4,Viktoria Plzen,,
SK Slovan Bratislava,2-0,Tobol,,
Skenderbeu Korce,0-2,APOEL Nikosia,,
Bangor City,0-3,HJK Helsinki,,
Linfield,1-1,BATE Borisov,,
Maccabi Haifa,5-1,Borac Banja Luka,,
Rosenborg BK,5-0,Breidablik,,
Zestafoni,3-0,Dacia Chisinau,,
Partizan Belgrade,4-0,Shkendija,,
Malmo FF,2-0,HB,,
Skonto,0-1,Wisla Krakow,,
SK Sturm Graz,2-0,Videoton,,
Dinamo Zagreb,3-0,Neftchi PFC Baku,,
HJK Helsinki,10-0,Bangor City,,
BATE Borisov,2-0,Linfield,,
Neftchi PFC Baku,0-0,Dinamo Zagreb,,
F91 Dudelange,1-3,NK Maribor,,
FK Ekranas,1-0,Valletta,,
Shkendija,0-1,Partizan Belgrade,,
Flora Tallinn,0-0,Shamrock Rovers,,
HB,1-1,Malmo FF,,
Viktoria Plzen,5-1,Pyunik,,
Tobol,1-1,SK Slovan Bratislava,,
Wisla Krakow,2-0,Skonto,,
PFC Litex Lovech,3-0,FK Mogren,,
APOEL Nikosia,4-0,Skenderbeu Korce,,
Borac Banja Luka,3-2,Maccabi Haifa,,
Breidablik,2-0,Rosenborg BK,,
Dacia Chisinau,2-0,Zestafoni,,
Videoton,3-2,SK Sturm Graz,,
FK Ekranas,0-0,BATE Borisov,,
APOEL Nikosia,0-0,SK Slovan Bratislava,,
Dinamo Kiev,0-2,Rubin Kazan,,
Rangers FC,0-1,Malmo FF,,
KRC Genk,2-1,Partizan Belgrade,,
Zestafoni,1-1,SK Sturm Graz,,
FC Twente,2-0,Vaslui,,
PFC Litex Lovech,1-2,Wisla Krakow,,
HJK Helsinki,1-2,Dinamo Zagreb,,
Standard Liege,1-1,FC Zurich,,
Kobenhavn,1-0,Shamrock Rovers,,
Maccabi Haifa,2-1,NK Maribor,,
Odense BK,1-1,Panathinaikos FC,,
Rosenborg BK,0-1,Viktoria Plzen,,
SL Benfica,2-0,Trabzonspor AŞ,,
BATE Borisov,3-1,FK Ekranas,,
Shamrock Rovers,0-2,Kobenhavn,,
Panathinaikos FC,3-4,Odense BK,,
NK Maribor,1-1,Maccabi Haifa,,
Rubin Kazan,2-1,Dinamo Kiev,,
Dinamo Zagreb,1-0,HJK Helsinki,,
FC Zurich,1-0,Standard Liege,,
SK Slovan Bratislava,0-2,APOEL Nikosia,,
Malmo FF,1-1,Rangers FC,,
Wisla Krakow,3-1,PFC Litex Lovech,,
Viktoria Plzen,3-2,Rosenborg BK,,
Trabzonspor AŞ,1-1,SL Benfica,,
SK Sturm Graz,1-0,Zestafoni,,
Vaslui,0-0,FC Twente,,
Partizan Belgrade,1-1,KRC Genk,,
Arsenal FC,1-0,Udinese Calcio,,
BATE Borisov,1-1,SK Sturm Graz,,
Kobenhavn,1-3,Viktoria Plzen,,
Olympique Lyon,3-1,Rubin Kazan,,
FC Twente,2-2,SL Benfica,,
Maccabi Haifa,2-1,KRC Genk,,
Wisla Krakow,1-0,APOEL Nikosia,,
Odense BK,1-0,Villarreal CF,,
Dinamo Zagreb,4-1,Malmo FF,,
Bayern München,2-0,FC Zurich,,
KRC Genk,2-1 (*),Maccabi Haifa,,
Villarreal CF,3-0,Odense BK,,
FC Zurich,0-1,Bayern München,,
Malmo FF,2-0,Dinamo Zagreb,,
APOEL Nikosia,3-1,Wisla Krakow,,
Udinese Calcio,1-2,Arsenal FC,,
SK Sturm Graz,0-2,BATE Borisov,,
Viktoria Plzen,2-1,Kobenhavn,,
SL Benfica,3-1,FC Twente,,
Rubin Kazan,1-1,Olympique Lyon,,
Chelsea FC,2-0,Bayer 04 Leverkusen,,
KRC Genk,0-0,Valencia CF,,
Borussia Dortmund,1-1,Arsenal FC,,
Olympiacos,0-1,Olympique Marseille,,
APOEL Nikosia,2-1,Zenit St. Petersburg,,
FC Porto,2-1,Shakhtar Donetsk,,
Viktoria Plzen,1-1,BATE Borisov,,
FC Barcelona,2-2,AC Milan,,
Villarreal CF,0-2,Bayern München,,
Manchester City FC,1-1,SSC Napoli,,
Internazionale,0-1,Trabzonspor AŞ,,
Lille OSC,2-2,CSKA Moskva,,
SL Benfica,1-1,Manchester United FC,,
Basel,2-1,Otelul Galati,,
Dinamo Zagreb,0-1,Real Madrid CF,,
AFC Ajax,0-0,Olympique Lyon,,
SSC Napoli,2-0,Villarreal CF,,
Bayern München,2-0,Manchester City FC,,
Trabzonspor AŞ,1-1,Lille OSC,,
CSKA Moskva,2-3,Internazionale,,
Manchester United FC,3-3,Basel,,
Otelul Galati,0-1,SL Benfica,,
Olympique Lyon,2-0,Dinamo Zagreb,,
Real Madrid CF,3-0,AFC Ajax,,
Valencia CF,1-1,Chelsea FC,,
Bayer 04 Leverkusen,2-0,KRC Genk,,
Arsenal FC,2-1,Olympiacos,,
Olympique Marseille,3-0,Borussia Dortmund,,
Shakhtar Donetsk,1-1,APOEL Nikosia,,
Zenit St. Petersburg,3-1,FC Porto,,
AC Milan,2-0,Viktoria Plzen,,
BATE Borisov,0-5,FC Barcelona,,
Manchester City FC,2-1,Villarreal CF,,
SSC Napoli,1-1,Bayern München,,
CSKA Moskva,3-0,Trabzonspor AŞ,,
Lille OSC,0-1,Internazionale,,
Basel,0-2,SL Benfica,,
Otelul Galati,0-2,Manchester United FC,,
Real Madrid CF,4-0,Olympique Lyon,,
Dinamo Zagreb,0-2,AFC Ajax,,
Chelsea FC,5-0,KRC Genk,,
Bayer 04 Leverkusen,2-1,Valencia CF,,
Olympique Marseille,0-1,Arsenal FC,,
Olympiacos,3-1,Borussia Dortmund,,
FC Porto,1-1,APOEL Nikosia,,
Shakhtar Donetsk,2-2,Zenit St. Petersburg,,
AC Milan,2-0,BATE Borisov,,
FC Barcelona,2-0,Viktoria Plzen,,
Valencia CF,3-1,Bayer 04 Leverkusen,,
KRC Genk,1-1,Chelsea FC,,
Arsenal FC,0-0,Olympique Marseille,,
Borussia Dortmund,1-0,Olympiacos,,
APOEL Nikosia,2-1,FC Porto,,
Zenit St. Petersburg,1-0,Shakhtar Donetsk,,
BATE Borisov,1-1,AC Milan,,
Viktoria Plzen,0-4,FC Barcelona,,
Villarreal CF,0-3,Manchester City FC,,
Bayern München,3-2,SSC Napoli,,
Internazionale,2-1,Lille OSC,,
Trabzonspor AŞ,0-0,CSKA Moskva,,
SL Benfica,1-1,Basel,,
Manchester United FC,2-0,Otelul Galati,,
AFC Ajax,4-0,Dinamo Zagreb,,
Olympique Lyon,0-2,Real Madrid CF,,
SSC Napoli,2-1,Manchester City FC,,
Bayern München,3-1,Villarreal CF,,
Trabzonspor AŞ,1-1,Internazionale,,
CSKA Moskva,0-2,Lille OSC,,
